sa,sector,series,geo,year,startups
A,Utilities,BA_BA,US,1/1/2021,377
A,Utilities,BA_BA,US,2/1/2021,393
A,Utilities,BA_BA,US,3/1/2021,487
A,Utilities,BA_BA,US,4/1/2021,430
A,Utilities,BA_BA,US,5/1/2021,420
A,Utilities,BA_BA,US,6/1/2021,368
A,Utilities,BA_BA,US,7/1/2021,455
A,Utilities,BA_BA,US,8/1/2021,367
A,Utilities,BA_BA,US,9/1/2021,411
A,Utilities,BA_BA,US,10/1/2021,365
A,Utilities,BA_BA,US,11/1/2021,440
A,Utilities,BA_BA,US,12/1/2021,338
A,Utilities,BA_BA,US,1/1/2022,419
A,Utilities,BA_BA,US,2/1/2022,470
A,Utilities,BA_BA,US,3/1/2022,540
A,Utilities,BA_BA,US,4/1/2022,454
A,Utilities,BA_BA,US,5/1/2022,459
A,Utilities,BA_BA,US,6/1/2022,464
A,Utilities,BA_BA,US,7/1/2022,454
A,Utilities,BA_BA,US,8/1/2022,510
A,Utilities,BA_BA,US,9/1/2022,564
A,Utilities,BA_BA,US,10/1/2022,525
A,Utilities,BA_BA,US,11/1/2022,477
A,Utilities,BA_BA,US,12/1/2022,398
A,Utilities,BA_BA,US,1/1/2023,547
A,Utilities,BA_BA,US,2/1/2023,639
A,Utilities,BA_BA,US,3/1/2023,656
A,Utilities,BA_BA,US,4/1/2023,643
A,Utilities,BA_BA,US,5/1/2023,540
A,Utilities,BA_BA,US,6/1/2023,566
A,Utilities,BA_BA,US,7/1/2023,610
A,Utilities,BA_BA,US,8/1/2023,623
A,Utilities,BA_BA,US,9/1/2023,524
A,Utilities,BA_BA,US,10/1/2023,601
A,Utilities,BA_BA,US,11/1/2023,608
A,Utilities,BA_BA,US,12/1/2023,517
A,Utilities,BA_BA,US,1/1/2024,648
A,Utilities,BA_BA,US,2/1/2024,647
A,Utilities,BA_BA,US,3/1/2024,803
A,Wholesale Trade,BA_BA,US,1/1/2021,12575
A,Wholesale Trade,BA_BA,US,2/1/2021,11094
A,Wholesale Trade,BA_BA,US,3/1/2021,11963
A,Wholesale Trade,BA_BA,US,4/1/2021,13035
A,Wholesale Trade,BA_BA,US,5/1/2021,12474
A,Wholesale Trade,BA_BA,US,6/1/2021,11248
A,Wholesale Trade,BA_BA,US,7/1/2021,11012
A,Wholesale Trade,BA_BA,US,8/1/2021,10607
A,Wholesale Trade,BA_BA,US,9/1/2021,10215
A,Wholesale Trade,BA_BA,US,10/1/2021,10007
A,Wholesale Trade,BA_BA,US,11/1/2021,9666
A,Wholesale Trade,BA_BA,US,12/1/2021,9415
A,Wholesale Trade,BA_BA,US,1/1/2022,9655
A,Wholesale Trade,BA_BA,US,2/1/2022,9273
A,Wholesale Trade,BA_BA,US,3/1/2022,9154
A,Wholesale Trade,BA_BA,US,4/1/2022,10098
A,Wholesale Trade,BA_BA,US,5/1/2022,9807
A,Wholesale Trade,BA_BA,US,6/1/2022,9122
A,Wholesale Trade,BA_BA,US,7/1/2022,9557
A,Wholesale Trade,BA_BA,US,8/1/2022,9406
A,Wholesale Trade,BA_BA,US,9/1/2022,9748
A,Wholesale Trade,BA_BA,US,10/1/2022,10173
A,Wholesale Trade,BA_BA,US,11/1/2022,10180
A,Wholesale Trade,BA_BA,US,12/1/2022,10069
A,Wholesale Trade,BA_BA,US,1/1/2023,10061
A,Wholesale Trade,BA_BA,US,2/1/2023,10360
A,Wholesale Trade,BA_BA,US,3/1/2023,10758
A,Wholesale Trade,BA_BA,US,4/1/2023,10257
