Year Ended,Surviving Establishments,Total Employment of Survivors,Survival Rates Since Birth (%),Labor Force Participation Rate (%)
Mar-15,"677,876","3,011,469",100,4.4
Mar-16,"539,701","3,073,279",79.6,5.7
Mar-17,"468,293","3,081,916",69.1,6.6
Mar-18,"416,438","3,075,769",61.4,7.4
Mar-19,"375,833","3,043,285",55.4,8.1
Mar-20,"340,281","2,985,597",50.2,8.8
Mar-21,"314,801","2,803,570",46.4,8.9
Mar-22,"295,667","3,003,504",43.6,10.2
Mar-23,"273,693","2,932,294",40.4,10.7
Mar-16,"732,856","3,130,736",100,4.3
Mar-17,"583,649","3,177,809",79.6,5.4
Mar-18,"504,380","3,180,663",68.8,6.3
Mar-19,"448,758","3,156,393",61.2,7
Mar-20,"403,200","3,083,361",55,7.6
Mar-21,"371,334","2,906,079",50.7,7.8
Mar-22,"347,579","3,061,396",47.4,8.8
Mar-23,"317,774","3,004,913",43.4,9.5
Mar-17,"733,286","3,111,021",100,4.2
Mar-18,"580,064","3,150,467",79.1,5.4
Mar-19,"502,855","3,149,427",68.6,6.3
Mar-20,"445,038","3,092,079",60.7,6.9
Mar-21,"407,322","2,940,977",55.5,7.2
Mar-22,"378,274","3,101,371",51.6,8.2
Mar-23,"345,570","3,063,264",47.1,8.9
Mar-18,"733,721","3,090,584",100,4.2
Mar-19,"582,840","3,147,244",79.4,5.4
Mar-20,"503,729","3,104,226",68.7,6.2
Mar-21,"455,667","2,990,398",62.1,6.6
Mar-22,"420,517","3,177,683",57.3,7.6
Mar-19,"770,523","3,116,850",100,4
Mar-20,"610,104","3,104,642",79.2,5.1
Mar-21,"540,775","3,004,262",70.2,5.6
Mar-22,"493,448","3,240,520",64,6.6
Mar-23,"437,838","3,197,541",56.8,7.3
Mar-20,"767,573","3,063,425",100,4
Mar-21,"621,249","3,000,715",80.9,4.8
Mar-22,"554,747","3,286,496",72.3,5.9
Mar-23,"489,540","3,259,994",63.8,6.7
Mar-21,"839,297","2,985,309",100,3.6
Mar-22,"663,801","3,255,404",79.1,4.9
Mar-23,"564,190","3,233,401",67.2,5.7
Mar-22,"1,065,228","3,697,739",100,3.5
Mar-23,"818,549","3,717,341",76.8,4.5
Mar-23,"1,054,052","3,710,694",100,3.5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
