date,full_onsite_arts_entertain,full_onsite_education,full_onsite_finance_insurance,full_onsite_government,full_onsite_healthcare,full_onsite_hospitaility_food,full_onsite_information,full_onsite_manufacturing,full_onsite_prof_bus_services,full_onsite_realestate,full_onsite_retail,full_onsite_transp_warehousing,full_onsite_utilities,full_onsite_wholesale,hybrid_arts_entertain,hybrid_education,hybrid_finance_insurance,hybrid_government,hybrid_healthcare,hybrid_hospitaility_food,hybrid_information,hybrid_manufacturing,hybrid_prof_bus_services,hybrid_realestate,hybrid_retail,hybrid_transp_warehousing,hybrid_utilities,hybrid_wholesale,full_remote_arts_entertain,full_remote_education,full_remote_finance_insurance,full_remote_government,full_remote_healthcare,full_remote_hospitaility_food,full_remote_information,full_remote_manufacturing,full_remote_prof_bus_services,full_remote_realestate,full_remote_retail,full_remote_transp_warehousing,full_remote_utilities,full_remote_wholesale,Notes,License,Citation
11/1/2021,20.9,64.3,20.5,64.5,53.3,73.8,33.8,66.2,35.6,43.6,65.3,75.8,57.5,39.0,52.7,23.5,52.6,22.8,30.3,23.0,51.1,27.6,37.2,34.2,22.7,14.7,36.1,17.7,26.4,12.2,26.9,12.8,16.4,3.3,15.1,6.2,27.2,22.1,12.0,9.5,6.4,43.3,,"Copyright 2024 by Jose Maria Barrero, Nicholas Bloom, and Steven J. Davis. The data in this .xlsx file are made available under the CC-BY 4.0 license https://creativecommons.org/licenses/by/4.0/"," When using this work, please cite: Barrero, Jose Maria, Nicholas Bloom, and Steven J. Davis, 2021. ""Why working from home will stick,"" National Bureau of Economic Research Working Paper 28731.   "
12/1/2021,28.6,61.7,22.9,64.0,55.8,77.1,31.4,67.7,34.5,43.1,68.7,75.0,54.3,48.0,46.4,25.0,47.9,20.1,27.8,19.0,50.9,24.7,34.8,35.6,19.8,17.0,33.2,17.6,25.0,13.3,29.2,16.0,16.5,3.9,17.8,7.6,30.8,21.3,11.5,8.0,12.5,34.4,,,
1/1/2022,31.4,61.2,25.7,62.2,57.0,78.6,29.5,71.2,34.2,39.3,75.1,78.1,55.6,58.6,44.3,25.2,44.6,19.5,25.2,15.8,47.7,20.7,30.5,38.2,15.6,15.1,30.3,22.2,24.3,13.6,29.7,18.3,17.9,5.6,22.8,8.1,35.4,22.5,9.3,6.9,14.2,19.2,,,
2/1/2022,41.0,61.9,28.7,61.0,60.9,79.8,24.1,72.8,33.5,38.8,75.7,75.6,63.5,54.1,35.3,25.1,42.6,19.8,20.5,15.1,48.6,18.0,29.7,39.1,14.6,17.1,24.1,21.0,23.7,13.0,28.7,19.2,18.6,5.1,27.3,9.2,36.8,22.1,9.7,7.4,12.3,24.9,,,
3/1/2022,36.6,64.7,29.2,62.4,60.6,79.2,22.2,74.5,37.6,41.0,75.7,78.1,68.0,42.3,40.1,25.3,45.7,21.3,21.2,16.0,48.8,17.1,29.9,37.3,15.3,14.7,27.1,31.8,23.3,10.0,25.1,16.3,18.2,4.8,29.0,8.4,32.4,21.7,9.0,7.1,4.9,25.9,,,
4/1/2022,38.7,64.0,28.0,65.1,60.5,79.6,20.3,73.6,39.2,47.2,73.5,73.7,63.5,46.8,37.8,25.8,48.1,21.4,24.1,17.5,53.6,19.6,33.3,39.9,16.9,20.1,29.2,28.0,23.5,10.2,23.9,13.5,15.4,2.9,26.0,6.9,27.5,12.9,9.6,6.2,7.3,25.3,,,
5/1/2022,43.6,58.2,27.9,61.0,57.9,80.3,22.6,73.2,38.3,44.7,72.9,76.7,51.4,55.1,37.1,32.1,50.6,22.4,26.1,16.8,52.7,20.4,36.8,44.1,18.5,17.9,37.1,25.1,19.3,9.7,21.5,16.6,16.0,2.9,24.7,6.4,24.9,11.2,8.6,5.3,11.5,19.7,,,
6/1/2022,48.8,55.7,28.1,58.5,58.1,79.0,24.1,70.1,37.6,44.7,73.2,79.2,50.4,60.7,33.0,31.7,51.4,23.4,25.6,18.4,49.2,23.4,38.0,47.3,18.1,15.5,32.2,19.9,18.2,12.6,20.5,18.1,16.3,2.7,26.7,6.5,24.5,8.1,8.7,5.3,17.4,19.4,,,
7/1/2022,43.3,53.3,29.5,53.4,58.0,78.5,23.5,70.1,39.7,42.8,73.7,82.7,53.3,53.6,34.8,34.2,51.5,27.6,23.9,18.7,46.4,22.2,36.3,43.5,17.9,13.4,25.9,31.3,21.8,12.5,18.9,19.0,18.1,2.8,30.2,7.7,24.1,13.7,8.4,3.9,20.8,15.1,,,
8/1/2022,42.6,57.5,30.8,58.7,57.5,82.2,23.1,67.6,41.6,50.7,75.1,80.7,54.0,45.0,37.2,30.8,49.9,27.2,24.0,15.2,49.0,22.8,34.4,34.7,16.8,15.3,24.5,38.4,20.2,11.7,19.3,14.0,18.6,2.6,27.9,9.6,24.0,14.6,8.2,4.0,21.5,16.5,,,
